mjtNum: double, ntrial per row: 50000

== candidate rules, double, unit scale
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
rank1           1e+00   double:current           6.4e-12   1.1e-15   7.3e-12   0.0e+00   4.0e-15   3.2e-15   2.00     2        0
rank1           1e+00   double:nocos             6.4e-12   1.1e-15   7.3e-12   0.0e+00   4.0e-15   3.2e-15   2.26   500       26
rank1           1e+00   double:nocos+stable      6.1e-15   9.1e-16   1.3e-15   0.0e+00   4.4e-15   4.8e-15   2.00     2        0
rank1           1e+00   double:ttest(1)          6.4e-12   1.1e-15   7.3e-12   0.0e+00   4.0e-15   3.2e-15   2.26   500       26
rank1           1e+00   double:ttest(1)+stable   6.1e-15   9.1e-16   1.3e-15   0.0e+00   4.4e-15   4.8e-15   2.00     2        0
rank1           1e+00   double:rel(4)            6.1e-15   9.1e-16   1.3e-15   0.0e+00   4.4e-15   4.8e-15   2.00     3        0
rank1           1e+00   double:rel(8)            6.1e-15   9.1e-16   1.3e-15   0.0e+00   4.4e-15   4.8e-15   2.00     2        0
rank1           1e+00   double:rel(16)           6.1e-15   9.1e-16   1.3e-15   0.0e+00   4.4e-15   4.8e-15   2.00     2        0
rank1           1e+00   double:rel(32)           6.1e-15   9.1e-16   1.3e-15   0.0e+00   4.4e-15   4.8e-15   2.00     2        0
rank1           1e+00   double:rel(8)+legacyhalf   6.4e-12   1.1e-15   7.3e-12   0.0e+00   4.0e-15   3.2e-15  70.61   500     6889
rank1           1e+00   double:progress          5.8e-15   9.0e-16   1.2e-15   0.0e+00   4.4e-15   4.7e-15   4.35   500        6
rank1           1e+00   double:rel(8)+progress   6.1e-15   9.1e-16   1.3e-15   0.0e+00   4.4e-15   4.8e-15   2.00     2        0
near_diagonal   1e+00   double:current           1.4e-06   5.6e-11   1.4e-06   0.0e+00   4.4e-15   0.0e+00   0.88     8        0
near_diagonal   1e+00   double:nocos             1.8e-08   3.7e-11   1.8e-08   0.0e+00   4.4e-15   0.0e+00 338.75   500    33875
near_diagonal   1e+00   double:nocos+stable      5.1e-12   2.7e-15   5.1e-12   0.0e+00   4.7e-15   0.0e+00   2.44     9        0
near_diagonal   1e+00   double:ttest(1)          1.8e-08   3.7e-11   1.8e-08   0.0e+00   4.4e-15   0.0e+00 338.75   500    33875
near_diagonal   1e+00   double:ttest(1)+stable   5.1e-12   2.7e-15   5.1e-12   0.0e+00   4.7e-15   0.0e+00   2.44     9        0
near_diagonal   1e+00   double:rel(4)            6.2e-15   2.0e-15   1.1e-15   0.0e+00   4.7e-15   0.0e+00   3.09     9        0
near_diagonal   1e+00   double:rel(8)            6.2e-15   2.0e-15   2.0e-15   0.0e+00   4.7e-15   0.0e+00   3.02     9        0
near_diagonal   1e+00   double:rel(16)           6.7e-15   2.5e-15   3.6e-15   0.0e+00   4.7e-15   0.0e+00   2.94     9        0
near_diagonal   1e+00   double:rel(32)           7.3e-15   2.5e-15   7.3e-15   0.0e+00   4.7e-15   0.0e+00   2.86     9        0
near_diagonal   1e+00   double:rel(8)+legacyhalf   1.8e-08   3.7e-11   1.8e-08   0.0e+00   4.4e-15   0.0e+00 410.00   500    41000
near_diagonal   1e+00   double:progress          6.2e-15   2.0e-15   3.4e-16   0.0e+00   4.7e-15   0.0e+00   6.52    16        0
near_diagonal   1e+00   double:rel(8)+progress   6.2e-15   2.0e-15   2.0e-15   0.0e+00   4.7e-15   0.0e+00   3.02     9        0
inertia_cloud   1e+00   double:current           1.3e-06   7.4e-09   1.3e-06   0.0e+00   4.2e-15   0.0e+00   5.31     7        0
inertia_cloud   1e+00   double:nocos             1.6e-08   2.2e-10   1.7e-08   0.0e+00   4.4e-15   0.0e+00 499.87   500    49987
inertia_cloud   1e+00   double:nocos+stable      2.2e-12   3.9e-15   2.6e-12   0.0e+00   4.4e-15   0.0e+00   6.72     9        0
inertia_cloud   1e+00   double:ttest(1)          1.6e-08   2.2e-10   1.7e-08   0.0e+00   4.4e-15   0.0e+00 499.87   500    49987
inertia_cloud   1e+00   double:ttest(1)+stable   2.2e-12   3.9e-15   2.6e-12   0.0e+00   4.4e-15   0.0e+00   6.72     9        0
inertia_cloud   1e+00   double:rel(4)            6.4e-15   3.2e-15   1.1e-15   0.0e+00   4.4e-15   0.0e+00   7.18     9        0
inertia_cloud   1e+00   double:rel(8)            6.4e-15   3.2e-15   2.0e-15   0.0e+00   4.4e-15   0.0e+00   7.13     9        0
inertia_cloud   1e+00   double:rel(16)           7.0e-15   3.2e-15   3.7e-15   0.0e+00   4.4e-15   0.0e+00   7.09     9        0
inertia_cloud   1e+00   double:rel(32)           1.0e-14   3.2e-15   7.3e-15   0.0e+00   4.4e-15   0.0e+00   7.04     9        0
inertia_cloud   1e+00   double:rel(8)+legacyhalf   1.6e-08   2.2e-10   1.7e-08   0.0e+00   4.4e-15   0.0e+00 500.00   500    50000
inertia_cloud   1e+00   double:progress          6.4e-15   3.1e-15   4.3e-16   0.0e+00   4.2e-15   0.0e+00   9.77    17        0
inertia_cloud   1e+00   double:rel(8)+progress   6.4e-15   3.2e-15   2.0e-15   0.0e+00   4.4e-15   0.0e+00   7.13     9        0
