time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0.076,1.57133814,1.90875839,0.0254458612,0.011817242,0.794385007,0.0072475673,-0.011817242,0.00552715955,-4.40738933e-07,4.40604728e-07,4.40604728e-07,6.97263964e-07,0.000184420592,-0.000139647209,-1.16264151e-06,1,0.000541816291,0.000251186133
0.078,1.57139103,1.90878295,0.0270462679,0.0125629806,0.809506827,0.00762955551,-0.0125629806,0.00587608503,-4.7521723e-07,4.75072898e-07,4.75072898e-07,7.87897871e-07,0.000206351002,-0.000157828481,-1.27363216e-06,1,0.000594703722,0.000275750518
0.08,1.57144716,1.90880903,0.0286754771,0.0133223783,0.822686314,0.00801376879,-0.0133223783,0.00623142304,-5.10892516e-07,5.10737771e-07,5.10737771e-07,8.85866416e-07,0.000229798644,-0.000177485762,-1.38816094e-06,1,0.000650828572,0.000301823732
0.082,1.57150657,1.90883663,0.0303295356,0.0140936066,0.833837046,0.00839916555,-0.0140936066,0.00659232032,-5.47706044e-07,5.47540629e-07,5.47540629e-07,9.91219061e-07,0.000254742791,-0.000198629746,-1.50552706e-06,1,0.000710243534,0.000329430823
0.084,1.57156932,1.9088658,0.0320043291,0.014874761,0.842882282,0.00878468935,-0.014874761,0.00695788802,-5.85592669e-07,5.85416351e-07,5.85416351e-07,1.10394229e-06,0.000281148089,-0.000221258515,-1.62495285e-06,1,0.000772993186,0.00035859308
0.086,1.57163544,1.90889653,0.0336955818,0.0156638609,0.849731383,0.00916921821,-0.0156638609,0.00732720161,-6.24481075e-07,6.24293654e-07,6.24293654e-07,1.22395464e-06,0.000308962142,-0.000245356539,-1.74558138e-06,1,0.000839113682,0.000389327895
0.088,1.57170496,1.90892885,0.0353988214,0.0164588334,0.854274703,0.00955154591,-0.0164588334,0.00769929332,-6.6429392e-07,6.64095227e-07,6.64095227e-07,1.3510994e-06,0.000338113468,-0.000270893198,-1.86647157e-06,1,0.000908632382,0.000421648582
0.09,1.57177789,1.90896277,0.0371093498,0.0172574996,0.856397786,0.00993040615,-0.0172574996,0.00807314572,-7.04947851e-07,7.0473775e-07,7.0473775e-07,1.4851372e-06,0.000368510915,-0.000297821293,-1.98659885e-06,1,0.000981567425,0.00045556418
0.092,1.57185425,1.90899828,0.0388222477,0.0180575771,0.856000093,0.0103045139,-0.0180575771,0.00844769281,-7.46353483e-07,7.46131875e-07,7.46131875e-07,1.62574131e-06,0.000400044391,-0.000326076091,-2.10486442e-06,1,0.00105792727,0.000491079238
0.094,1.57193404,1.9090354,0.0405324113,0.0188566963,0.853002617,0.0106725894,-0.0188566963,0.00882182767,-7.88415457e-07,7.88182277e-07,7.88182277e-07,1.77249609e-06,0.000432585783,-0.000355574997,-2.22010996e-06,1,0.0011377103,0.00052819363
0.096,1.57201723,1.9090741,0.0422345911,0.0196524189,0.847340534,0.011033351,-0.0196524189,0.00919441097,-8.31032612e-07,8.30787834e-07,8.30787834e-07,1.92489713e-06,0.000465989066,-0.000386217568,-2.33113122e-06,1,0.00122090452,0.0005669024
0.098,1.57210381,1.9091144,0.0439234108,0.0204422457,0.838949698,0.0113854897,-0.0204422457,0.00956427478,-8.74098225e-07,8.73841861e-07,8.73841861e-07,2.0823508e-06,0.000500089541,-0.000417885409,-2.43668695e-06,1,0.00130748724,0.000607195641
0.1,1.57219375,1.90915626,0.0455933605,0.0212236144,0.8277591,0.011727652,-0.0212236144,0.00993022131,-9.17500233e-07,9.17232335e-07,9.17232335e-07,2.24417253e-06,0.000534703067,-0.000450441808,-2.53550475e-06,1,0.00139742488,0.000649058368
