time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2,q3
0.11,1.57268906,1.90938665,0.0535060248,0.0249333156,0.730432211,0.0146043857,-0.0249333156,0.0116683225,-1.19328499e-06,1.19294506e-06,1.20503205e-06,5.71699705e-06,0.000781422625,-0.000621670225,-2.99612278e-06,3,0.00189273247,-0.00214408854,0.000879450383,-0.00113060524
0.112,1.57279788,1.90943737,0.0549453869,0.0256098181,0.701116363,0.01480502,-0.0256098181,0.011985451,-1.23539997e-06,1.23504997e-06,1.24745737e-06,6.03012007e-06,0.00081346755,-0.000655862782,-3.00445032e-06,3,0.00200155276,-0.00226731716,0.000930166801,-0.00119573087
0.114,1.5729095,1.9094894,0.056323797,0.026258262,0.668710723,0.0149801714,-0.026258262,0.0122894898,-1.27671619e-06,1.27635651e-06,1.28907001e-06,6.33795536e-06,0.000843740133,-0.000689496323,-2.99554732e-06,3,0.00211317656,-0.0023937166,0.000982201602,-0.00126254282
0.116,1.5730238,1.9095427,0.0576350827,0.0268757606,0.633217859,0.0151284921,-0.0268757606,0.0125790865,-1.31708125e-06,1.31671234e-06,1.32971623e-06,6.63807364e-06,0.000871931895,-0.000722306507,-2.96865456e-06,3,0.00222747423,-0.00252313981,0.00103549506,-0.00133096398
0.118,1.57314063,1.90959718,0.0588730506,0.0274594156,0.594605494,0.0152484904,-0.0274594156,0.0128528826,-1.3563408e-06,1.35596314e-06,1.36924031e-06,6.92796016e-06,0.000897725147,-0.000754019503,-2.92313336e-06,3,0.0023443038,-0.00265542578,0.00108998167,-0.00140090982
0.12,1.57325984,1.90965279,0.0600314219,0.028006288,0.552818235,0.0153385634,-0.028006288,0.0131095,-1.39433854e-06,1.39395265e-06,1.40748466e-06,7.20501632e-06,0.00092079577,-0.000784352166,-2.85845986e-06,3,0.0024635108,-0.00279039936,0.00114559007,-0.00147228832
0.122,1.57338125,1.90970944,0.0611038039,0.0285133849,0.507801844,0.0153970866,-0.0285133849,0.0133475351,-1.43091607e-06,1.4305225e-06,1.44428952e-06,7.4665696e-06,0.00094082056,-0.000813013121,-2.77424115e-06,3,0.00258492806,-0.00292787104,0.00120224297,-0.00154499983
0.124,1.5735047,1.90976706,0.0620837112,0.0289776692,0.459527444,0.0154225145,-0.0289776692,0.0135655628,-1.46591273e-06,1.46551208e-06,1.47949292e-06,7.70989725e-06,0.00095748694,-0.000839705315,-2.67025138e-06,3,0.00270837551,-0.00306763671,0.00125985702,-0.00161893701
0.126,1.57362999,1.90982554,0.0629646288,0.029396088,0.408004431,0.0154134455,-0.029396088,0.0137621503,-1.49916575e-06,1.49875863e-06,1.51293074e-06,7.93226299e-06,0.000970501877,-0.000864129988,-2.54647658e-06,3,0.00283366005,-0.00320947753,0.00131834279,-0.00169398468
0.128,1.5737569,1.90988481,0.0637400883,0.0297656077,0.353277304,0.0153686261,-0.0297656077,0.0139358732,-1.53051065e-06,1.53009773e-06,1.54443716e-06,8.13096065e-06,0.000979597584,-0.000885991401,-2.40315345e-06,3,0.00296057561,-0.00335315999,0.00137760474,-0.00177001988
0.13,1.57388523,1.90994474,0.0644037276,0.0300832418,0.295409622,0.0152869005,-0.0300832418,0.0140853287,-1.55978194e-06,1.5593639e-06,1.57384537e-06,8.30335665e-06,0.000984533375,-0.000905001438,-2.24079156e-06,3,0.0030889033,-0.0034984361,0.00143754133,-0.00184691197
0.132,1.57401474,1.91000525,0.0649493143,0.0303460615,0.234463943,0.0151671364,-0.0303460615,0.0142091404,-1.58681381e-06,1.58639138e-06,1.60098826e-06,8.44692523e-06,0.000985095108,-0.00092088345,-2.060177e-06,3,0.00321841167,-0.00364504365,0.00149804513,-0.00192452278
0.134,1.57414518,1.9100662,0.0653707307,0.0305511896,0.170487509,0.0150081652,-0.0305511896,0.0143059557,-1.61144074e-06,1.61101466e-06,1.62569905e-06,8.55927522e-06,0.000981094726,-0.000933375186,-1.86236392e-06,3,0.00334885694,-0.00379270655,0.0015590029,-0.00200270673
0.136,1.57427631,1.9101275,0.0656619397,0.0306957848,0.10350975,0.0148087647,-0.0306957848,0.0143744384,-1.63349784e-06,1.63306887e-06,1.64781159e-06,8.63817211e-06,0.000972372215,-0.000942231207,-1.64866478e-06,3,0.00347998323,-0.00394113498,0.0016202957,-0.00208131098
