time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0.132,1.57079633,1.9085072,-6.96585713e-17,-8.45697744e-16,3.0373175e-15,4.16774615e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.15647116e-33,-2.90319242e-32,-0,1.11964741e-29,2,-1.36963517e-19,1.11342176e-16,2.01808301e-16
0.134,1.57079633,1.9085072,-2.6105941e-17,-1.20151438e-15,-9.4383032e-14,1.33077743e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,6.94281537e-33,-3.47411971e-33,-0,-2.50851172e-30,2,-5.09607585e-21,1.14085406e-16,1.99153779e-16
0.136,1.57079633,1.9085072,-6.77642636e-17,-8.26197085e-16,2.90077217e-15,4.04196733e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,3.13476724e-33,-2.73900939e-32,-0,1.1277939e-29,2,-1.3075083e-19,1.16109709e-16,1.97226774e-16
0.138,1.57079633,1.9085072,-2.54570905e-17,-1.17616282e-15,-9.19288061e-14,1.28507274e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,6.93153234e-33,-3.27142132e-33,-0,-2.51851068e-30,2,-2.44364327e-21,1.18925156e-16,1.94627299e-16
0.14,1.57079633,1.9085072,-6.60616192e-17,-8.0859393e-16,2.7791482e-15,3.92766926e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.12206497e-33,-2.59468191e-32,-0,1.13778211e-29,2,-1.2491766e-19,1.20990983e-16,1.92741276e-16
0.142,1.57079633,1.9085072,-2.48825596e-17,-1.15334301e-15,-8.97022681e-14,1.24346557e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,6.93646045e-33,-3.09406061e-33,-0,-2.53330122e-30,2,1.32483107e-22,1.23875548e-16,1.90191319e-16
0.144,1.57079633,1.9085072,-6.45303482e-17,-7.927432e-16,2.67002063e-15,3.82393496e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.11725285e-33,-2.46759855e-32,-0,1.1493879e-29,2,-1.1948351e-19,1.25981418e-16,1.88342196e-16
0.146,1.57079633,1.9085072,-2.43721782e-17,-1.13286276e-15,-8.76870815e-14,1.20561071e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,6.95564395e-33,-2.93833591e-33,-0,-2.55230021e-30,2,2.59963886e-21,1.28932249e-16,1.85836649e-16
0.148,1.57079633,1.9085072,-6.31538472e-17,-7.78511898e-16,2.5716254e-15,3.7299358e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.11938262e-33,-2.35559796e-32,-0,1.16242147e-29,2,-1.14448688e-19,1.31076803e-16,1.84020653e-16
0.15,1.57079633,1.9085072,-2.39182244e-17,-1.11454555e-15,-8.58678663e-14,1.17120207e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,6.98741475e-33,-2.80130741e-33,-0,-2.57501245e-30,2,4.94182976e-21,1.34091282e-16,1.81554794e-16
0.152,1.57079633,1.9085072,-6.19181368e-17,-7.65777847e-16,2.48263067e-15,3.64491809e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.12764411e-33,-2.25686537e-32,-0,1.17672225e-29,2,-1.0980225e-19,1.36273272e-16,1.79768437e-16
0.154,1.57079633,1.9085072,-2.3514628e-17,-1.09822905e-15,-8.42302364e-14,1.13996503e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,7.03034896e-33,-2.68058535e-33,-0,-2.60101747e-30,2,7.15327435e-21,1.39349e-16,1.77337896e-16
0.156,1.57079633,1.9085072,-6.08111684e-17,-7.54428662e-16,2.40199505e-15,3.56819331e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.14134438e-33,-2.16986004e-32,-0,1.19215455e-29,2,-1.05526977e-19,1.41567287e-16,1.75577952e-16
0.158,1.57079633,1.9085072,-2.31564562e-17,-1.08376378e-15,-8.27607937e-14,1.11165113e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,7.08323038e-33,-2.57419007e-33,-0,-2.62995832e-30,2,9.23433534e-21,1.44702067e-16,1.73178688e-16
0.16,1.57079633,1.9085072,-5.98223638e-17,-7.44360857e-16,2.32887657e-15,3.49913047e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.1598903e-33,-2.09326256e-32,-0,1.20860389e-29,2,-1.01602456e-19,1.4695561e-16,1.71442173e-16
0.162,1.57079633,1.9085072,-2.28395821e-17,-1.07101201e-15,-8.14470968e-14,1.08603429e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,7.14501996e-33,-2.48045693e-33,-0,-2.66153218e-30,2,1.11889641e-20,1.50147435e-16,1.69070443e-16
0.164,1.57079633,1.9085072,-5.89423042e-17,-7.35479083e-16,2.26257375e-15,3.4371501e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.1827739e-33,-2.02593547e-32,-0,1.22597383e-29,2,-9.80069786e-20,1.5243529e-16,1.67354593e-16
0.166,1.57079633,1.9085072,-2.2560467e-17,-1.05984683e-15,-8.02776154e-14,1.06290783e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,7.21482986e-33,-2.3979697e-33,-0,-2.69548239e-30,2,1.3023103e-20,1.55682327e-16,1.65006932e-16
0.168,1.57079633,1.9085072,-5.81625157e-17,-7.2769545e-16,1.30754492e-14,3.38171925e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.20955999e-33,-1.96689299e-32,-0,-1.26561367e-30,2,-9.47186929e-20,1.58003633e-16,1.6330919e-16
0.17,1.57079633,1.9085072,1.49829067e-17,-1.02322587e-15,-1.21780859e-13,-7.03402184e-17,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,7.17310484e-33,-1.05390093e-33,-0,-2.63013392e-30,2,-9.14863045e-21,1.60756356e-16,1.61353452e-16
0.172,1.57079633,1.9085072,-4.96386147e-17,-7.20793955e-16,1.61039997e-15,2.90047525e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.23947736e-33,-1.43975573e-32,-0,-1.26725482e-30,2,-8.37089028e-20,1.63074818e-16,1.59685755e-16
0.174,1.57079633,1.9085072,1.44297581e-17,-1.0149371e-15,-1.21224548e-13,-7.37970781e-17,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,7.2593873e-33,-1.06487399e-33,-0,-2.66872911e-30,2,3.29657472e-21,1.65868332e-16,1.57745456e-16
0.176,1.57079633,1.9085072,-4.99678587e-17,-7.15250785e-16,1.49507661e-15,2.8581819e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.27437361e-33,-1.42817229e-32,-0,-1.28125409e-30,2,-7.19577925e-20,1.68221079e-16,1.56090836e-16
0.178,1.57079633,1.9085072,1.3389168e-17,-1.00833876e-15,-1.19818035e-13,-7.30991071e-17,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,7.35332685e-33,-9.78736225e-34,-0,-2.71123773e-30,2,1.23065343e-20,1.71059256e-16,1.54163194e-16
0.18,1.57079633,1.9085072,-5.01967109e-17,-7.10427837e-16,1.59875337e-15,2.82865525e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.31166684e-33,-1.4198919e-32,-0,-1.29654158e-30,2,-6.37639419e-20,1.73445611e-16,1.52519633e-16
0.182,1.57079633,1.9085072,1.26694734e-17,-1.0027372e-15,-1.18604326e-13,-7.25701284e-17,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,7.45190641e-33,-9.19425315e-34,-0,-2.7550746e-30,2,1.84455223e-20,1.76326755e-16,1.50602776e-16
0.184,1.57079633,1.9085072,-5.02321146e-17,-7.06310805e-16,1.65859924e-15,2.80154098e-16,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.35129568e-33,-1.40727328e-32,-0,-1.31278161e-30,2,-5.79870498e-20,1.78745471e-16,1.48968642e-16
