group,precision,model,exact,axis,peak,control,dt,integrator,contacts,failed,trace,step_us,closure_max_mm,closure_rms_mm,settled_closure_mm,aperture_peak_mm,aperture_pp_mm,aperture_recovery_mm,pad_peak_mm,weld_angle_max_deg,equality_work_J,equality_abs_work_J,iterations_mean,contact_count_max
scale1,double,connect,1,2,50,128,0.002,implicitfast,0,False,double_connect_e1_a2_p50_c128_h0.002_implicitfast_contact0.csv,2.614318,0.0139088392114,0.011811806634476969,0.011706647330962,0.03444350560699583,0.06886099189999662,-3.3833657403503636e-07,0.01801559390464241,0.0,-1.9290306410642823e-05,0.0006577735639308054,1.0,0
scale1,double,shadow,0,0,0,128,0.002,implicitfast,0,False,double_shadow_e0_a0_p0_c128_h0.002_implicitfast_contact0.csv,3.257735111111111,0.0659435960392,0.0659435960389909,0.06594359655824102,3.464269912600848e-07,0.0,-3.464269912600848e-07,1.8040922051775785e-07,0.12123345902970487,6.261790198863653e-16,1.5177345282344104e-13,0.8290854572713643,0
scale1,double,shadow,0,0,10,128,0.002,implicitfast,0,False,double_shadow_e0_a0_p10_c128_h0.002_implicitfast_contact0.csv,3.428116888888889,0.074044399527,0.07110980131255772,0.06594359655824102,0.00021122182699423453,0.00020717710000339729,-3.464269912600848e-07,0.005308012779737782,0.1348364848627224,-8.681083041203219e-05,0.00030258941677048404,1.0,0
scale1,double,shadow,0,0,50,128,0.002,implicitfast,0,False,double_shadow_e0_a0_p50_c128_h0.002_implicitfast_contact0.csv,3.4911573333333337,0.106657048246,0.0922691919608346,0.06594359655824102,0.0018525417730050342,0.003050018299997903,-3.4629136363983903e-07,0.026504349003632927,0.1894514000897948,-0.00187659732516884,0.005459159329716865,1.0,0
scale1,double,shadow,0,2,10,128,0.002,implicitfast,0,False,double_shadow_e0_a2_p10_c128_h0.002_implicitfast_contact0.csv,3.4404293333333333,0.0680785486125,0.06596395580840059,0.06594359655824102,0.009357809573007358,0.01871501510000012,-3.448151209006767e-07,0.004917858460946199,0.12525840622460974,-1.0110787528122297e-05,0.0006710061402281928,1.0,0
scale1,double,shadow,0,2,50,128,0.002,implicitfast,0,False,double_shadow_e0_a2_p50_c128_h0.002_implicitfast_contact0.csv,3.557599111111111,0.07676204922209999,0.06695225014812836,0.06594359655824102,0.04674967562699056,0.09305821339999909,-3.384477975654221e-07,0.024564019745539102,0.14143760888149146,-0.00023475694075338833,0.0030949328021875624,1.0,0
scale1,double,shadow,1,0,0,128,0.002,implicitfast,0,False,double_shadow_e1_a0_p0_c128_h0.002_implicitfast_contact0.csv,4.179891111111112,0.0881488843847,0.08814888437350119,0.08814888456220599,3.471749970840321e-07,0.0,-3.471749693284565e-07,1.8086319805600018e-07,0.10099203796108304,1.5212521805390267e-15,2.8603117522300177e-12,0.9265367316341829,0
scale1,double,shadow,1,0,10,128,0.002,implicitfast,0,False,double_shadow_e1_a0_p10_c128_h0.002_implicitfast_contact0.csv,4.0516000000000005,0.0947254126317,0.09233024931950191,0.08814888456220599,0.00014402512499983589,0.0001311118000002498,-3.471749693284565e-07,0.004389407825428987,0.10580390871406765,-5.9506901209279365e-05,0.00015783198881337248,1.0,0
scale1,double,shadow,1,0,50,128,0.002,implicitfast,0,False,double_shadow_e1_a0_p50_c128_h0.002_implicitfast_contact0.csv,3.9178273333333338,0.13580725419599998,0.11744381729875666,0.08814888456220599,0.0032027714250010275,0.004135017600000179,-3.471769469132191e-07,0.0298569573915233,0.1428484478221591,-0.0023046340256475182,0.005982443569507338,1.0,0
scale1,double,shadow,1,2,10,128,0.002,implicitfast,0,False,double_shadow_e1_a2_p10_c128_h0.002_implicitfast_contact0.csv,3.999234888888889,0.0895767160264,0.0881585504737065,0.08814888456220599,0.007569384624997455,0.015121792499996067,-3.4562151057793145e-07,0.003987584220831852,0.10236562905872872,-2.771536447020597e-06,0.0004154469297462636,1.0,0
