time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0.106,1.57248029,1.9092898,0.0504698668,0.0235090404,0.779699283,0.0141307955,-0.0235090404,0.0110008407,-1.02403205e-06,1.02373728e-06,1.03214155e-06,5.09440505e-06,0.000713179368,-0.000552674981,-2.74969287e-06,2,0.00168396071,-0.00190754424,0.000782599599
0.108,1.57258316,1.90933773,0.0520124882,0.0242323712,0.756669687,0.0143780907,-0.0242323712,0.0113397982,-1.06702995e-06,1.06672438e-06,1.07540384e-06,5.41132956e-06,0.000747840275,-0.000587207813,-2.80998953e-06,2,0.00178683579,-0.00202404503,0.000830525087
0.11,1.57268906,1.90938707,0.0535066751,0.0249334653,0.730475862,0.0146023396,-0.0249334653,0.0116683926,-1.10976414e-06,1.10944801e-06,1.11839563e-06,5.72749871e-06,0.00078132264,-0.000621677694,-2.85742417e-06,2,0.00189273656,-0.00214396896,0.000879869903
0.112,1.57279789,1.90943779,0.0549461165,0.0256093784,0.701146291,0.0148022721,-0.0256093784,0.0119852452,-1.15209693e-06,1.15177053e-06,1.16097824e-06,6.04065809e-06,0.000813327368,-0.000655840261,-2.8908292e-06,2,0.00200155826,-0.00226719715,0.000930585888
0.114,1.57290951,1.90948982,0.0563245696,0.0262571952,0.668717413,0.0149766635,-0.0262571952,0.0122889906,-1.19388684e-06,1.1935505e-06,1.20300919e-06,6.34845538e-06,0.000843554127,-0.000689440299,-2.90914278e-06,2,0.00211318357,-0.00239359653,0.000982619032
0.116,1.57302381,1.90954311,0.0576358515,0.0268740261,0.633203121,0.0151242105,-0.0268740261,0.0125782747,-1.23498923e-06,1.23464332e-06,1.2443428e-06,6.64845475e-06,0.000871696751,-0.000722213279,-2.91141314e-06,2,0.00222748279,-0.00252301995,0.00103590953
0.118,1.57314064,1.90959759,0.0588737801,0.0274569799,0.594580773,0.0152434627,-0.0274569799,0.0128517426,-1.27525672e-06,1.27490165e-06,1.28483071e-06,6.93814041e-06,0.000897440273,-0.000753885748,-2.89679401e-06,2,0.00234431385,-0.00265530633,0.00109039179
0.12,1.57325985,1.9096532,0.0600321034,0.0280031315,0.552798512,0.0153328367,-0.0280031315,0.0131080225,-1.31453949e-06,1.31417568e-06,1.32432206e-06,7.21491701e-06,0.000920462437,-0.000784175372,-2.86454221e-06,2,0.00246352225,-0.00279028049,0.00114599442
0.122,1.57338127,1.90970984,0.061104457,0.0285095016,0.507798314,0.0153906985,-0.0285095016,0.0133457173,-1.35268521e-06,1.35231316e-06,1.36266354e-06,7.47611655e-06,0.000940440273,-0.000812791683,-2.81402626e-06,2,0.00258494083,-0.00292775294,0.0012026401
0.124,1.57350472,1.90976745,0.0620843717,0.0289730614,0.459542529,0.0154154717,-0.0289730614,0.0135634058,-1.38953911e-06,1.38915933e-06,1.39969934e-06,7.71901883e-06,0.000957059874,-0.000839438287,-2.74474909e-06,2,0.00270838959,-0.00306751966,0.00126024548
0.126,1.57363,1.90982592,0.0629653299,0.0293907576,0.408031294,0.0154057189,-0.0293907576,0.0137596548,-1.424944e-06,1.42455704e-06,1.43527125e-06,7.9408863e-06,0.000970026173,-0.00086381663,-2.65638055e-06,2,0.0028336755,-0.0032093619,0.00131872113
0.128,1.57375692,1.90988517,0.0637408448,0.0297595492,0.353303755,0.0153601639,-0.0297595492,0.0139330368,-1.45874057e-06,1.45834702e-06,1.46921895e-06,8.13900824e-06,0.000979069824,-0.000885630771,-2.54879131e-06,2,0.00296059254,-0.00335304622,0.00137797151
0.13,1.57388525,1.9099451,0.0644045296,0.0300764401,0.295424253,0.0152776517,-0.0300764401,0.0140821441,-1.49076785e-06,1.49036832e-06,1.50138041e-06,8.31074565e-06,0.000983949969,-0.000904592247,-2.42207933e-06,2,0.0030889218,-0.00349832464,0.00143789506
0.132,1.57401476,1.91000559,0.0649501329,0.0303384945,0.234461415,0.0151570725,-0.0303384945,0.0142055973,-1.52086376e-06,1.52045889e-06,1.53159255e-06,8.45356972e-06,0.000984453875,-0.000920424246,-2.27658468e-06,2,0.00321843179,-0.00364493491,0.00149838431
0.134,1.57414521,1.91006653,0.0653715324,0.030542835,0.17047059,0.0149972909,-0.030542835,0.0143020437,-1.54886568e-06,1.54845615e-06,1.55969175e-06,8.56509092e-06,0.00098039589,-0.000932864771,-2.11289338e-06,2,0.00334887869,-0.00379260086,0.00155932596
0.136,1.57427633,1.9101278,0.0656627018,0.0306866274,0.103487381,0.0147971124,-0.0306866274,0.0143701502,-1.57461085e-06,1.57419735e-06,1.58551426e-06,8.64308137e-06,0.00097161838,-0.000941669101,-1.93183624e-06,2,0.00348000653,-0.00394103263,0.00162060105
0.138,1.57440787,1.91018929,0.0658176741,0.0307670635,0.0335341074,0.0145553017,-0.0307670635,0.0144085957,-1.59793667e-06,1.59751993e-06,1.60889651e-06,8.68549688e-06,0.0009579961,-0.000946612197,-1.73448918e-06,2,0.00361154739,-0.00408992683,0.00168208497
0.14,1.57453955,1.91025085,0.0658305256,0.0307813544,-0.0393651426,0.0142706393,-0.0307813544,0.0144160674,-1.61868084e-06,1.6182616e-06,1.62967527e-06,8.69050501e-06,0.000939443683,-0.000947491776,-1.52217979e-06,2,0.00374322147,-0.00423896666,0.00174364751
0.142,1.57467106,1.91031235,0.0656953919,0.0307267375,-0.115168728,0.0139419884,-0.0307267375,0.0143912648,-1.63668153e-06,1.63626057e-06,1.64768776e-06,8.65652257e-06,0.000915924391,-0.000944132397,-1.29650046e-06,2,0.00387473718,-0.00438782201,0.00180515293
0.144,1.57480212,1.91037366,0.0654065112,0.0306004972,-0.193808329,0.0135683408,-0.0306004972,0.0143329089,-1.65177762e-06,1.65135571e-06,1.66277193e-06,8.58226114e-06,0.000887457835,-0.000936390427,-1.05932458e-06,2,0.00400579133,-0.00453614966,0.00186646
0.146,1.5749324,1.91043462,0.0649582784,0.0303999895,-0.275190017,0.0131488246,-0.0303999895,0.0142397541,-1.66380898e-06,1.66338694e-06,1.67476678e-06,8.46677594e-06,0.000854125007,-0.000924159363,-8.12820459e-07,2,0.00413606939,-0.00468359362,0.00192742217
0.148,1.57506157,1.91049509,0.0643452903,0.0301226635,-0.359203989,0.012682675,-0.0301226635,0.014110598,-1.67261701e-06,1.67219564e-06,1.6835128e-06,8.30951175e-06,0.000816070408,-0.000907374858,-5.59458717e-07,2,0.00426524587,-0.00482978549,0.00198788769
0.15,1.57518931,1.9105549,0.0635623673,0.0297660713,-0.445737599,0.0121691878,-0.0297660713,0.0139442865,-1.67804507e-06,1.67762522e-06,1.68885254e-06,8.1103421e-06,0.000773502387,-0.000886019003,-3.02011391e-07,2,0.00439298474,-0.00497434503,0.00204769985
