angle_difference_from_tendon_rad,closure,compliance_m_N,damping,decay_s,deflection_m,deflection_rms_m,drive_kv,dt,duration,energy_change_J,energy_initial_J,equality_work_J,exact,failed,frequency,group,impedance,input_torque_Nm,input_work_J,inverse_dynamics_error_Nm,load,mass,max_closure_m,mode,num_bytes,output_work_J,precision,reference_rms_Nm,rotation,rows_mode,samples,static_error_Nm,static_reference_Nm,step_seconds,theta,timeconst,torque_difference_from_tendon_Nm,trace,work_balance_error_J
,connect,4.67962141967e-05,1,0.02035938116182175,1.67688085639382e-14,3.274488730996049e-05,5,0.0005,2,1.49581856661e-32,0.0,-4.7248031447164736e-05,1,False,1,calibration,0.99,1.2973263856401327e-12,-1.816509270356094e-05,0.00017584424805107591,1,0.02,5.91753573494e-05,calibrate,8,6.428830438870184e-05,double,0.06617594088802757,90,1,4001,1.2973263856401327e-12,0.0,0.003993366,90,0.010304545339535176,,,1.1248197620238314e-06
,connect,1.13956769593e-05,1,0.019755956799296596,8.9206420028647e-15,7.957353089115465e-06,5,0.0005,2,1.53880678676e-34,0.0,-1.1432832975709121e-05,1,False,1,calibration,0.9974149520952291,5.847916071998039e-13,-1.8579374186511447e-05,0.00036383818178462946,1,0.02,1.44094964266e-05,calibrate,8,2.888698729883148e-05,double,0.0661796900009118,90,1,4001,5.847916071998039e-13,0.0,0.004203087,90,0.009999964616074138,,,1.1252198633890884e-06
,connect,1.13956769593e-05,1,0.019755956799296596,8.9206420028647e-15,7.957353089115465e-06,5,0.0005,2,1.53880678676e-34,0.0,-1.1432832975709121e-05,1,False,1,calibration,0.9974149520952291,5.847916071998039e-13,-1.8579374186511447e-05,0.00036383818178462946,1,0.02,1.44094964266e-05,calibrate,8,2.888698729883148e-05,double,0.0661796900009118,90,1,4001,5.847916071998039e-13,0.0,0.003925814,90,0.009999964616074138,,,1.1252198633890884e-06
,connect,1.13956769593e-05,1,0.019755956799296596,8.9206420028647e-15,7.957353089115465e-06,5,0.0005,2,1.53880678676e-34,0.0,-1.1432832975709121e-05,1,False,1,calibration,0.9974149520952291,5.847916071998039e-13,-1.8579374186511447e-05,0.00036383818178462946,1,0.02,1.44094964266e-05,calibrate,8,2.888698729883148e-05,double,0.0661796900009118,90,1,4001,5.847916071998039e-13,0.0,0.00392096,90,0.009999964616074138,,,1.1252198633890884e-06
,connect,0.00034018387021499997,1,0.020039104010752668,2.447448022025617e-13,0.00023887371760384228,5,0.0005,2,1.07168733738e-33,0.0,-0.0003442541869606453,1,False,1,calibration,0.99,2.371968982829968e-11,-1.5784533058827815e-05,0.001425800114061377,1,0.002,0.000504300547164,calibrate,8,0.0003576850106771342,double,0.06615621412789911,90,1,4001,2.371968982829968e-11,0.0,0.003883973,90,0.010000000000000005,,,2.353709342338959e-06
,connect,0.0003504835377150001,1,0.020070232630635027,2.6081701243187724e-13,0.0002461183611703042,5,0.0005,2,3.3162349581e-33,0.0,-0.0003546816538549753,1,False,1,calibration,0.9896954546604648,2.887743242754048e-11,-1.5722065984576455e-05,0.0014736104202780459,1,0.002,0.000519896058972,calibrate,8,0.0003679849840128196,double,0.06615568080991624,90,1,4001,2.887743242754048e-11,0.0,0.003988817,90,0.010000000000000005,,,2.418735826732136e-06
,connect,0.000361093144234,1,0.020668881620868086,5.18226439538948e-13,0.00025350947883292184,5,0.0005,2,1.47699217667e-32,0.0,-0.0003652961216411658,1,False,1,calibration,0.99,3.6666603579247924e-11,-1.5685161068918365e-05,0.001462137064516056,1,0.002,0.000535457345758,calibrate,8,0.0003785949056081087,double,0.06615605980772071,90,1,4001,3.6666603579247924e-11,0.0,0.003822386,90,0.010304545339535176,,,2.3863771019755147e-06
,connect,0.00010808424596416129,1,0.023571750041202433,1.8847248206555315e-13,7.561989265284484e-05,5,0.0005,2,2.20895471961e-32,0.0,-0.00010913776797884676,1,False,1,calibration,0.9977686983985157,1.6060179200110352e-11,-1.7717936717489426e-05,0.0001848857815333029,1,0.002,0.000159065402265,calibrate,8,0.00012557850404810658,double,0.06617420988256673,90,1,4001,1.6060179200110352e-11,0.0,0.003801962,90,0.011909815611947655,,,1.277200648229607e-06
,connect,0.00010808424596416129,1,0.023571750041202433,1.8847248206555315e-13,7.561989265284484e-05,5,0.0005,2,2.20895471961e-32,0.0,-0.00010913776797884676,1,False,1,calibration,0.9977686983985157,1.6060179200110352e-11,-1.7717936717489426e-05,0.0001848857815333029,1,0.002,0.000159065402265,calibrate,8,0.00012557850404810658,double,0.06617420988256673,90,1,4001,1.6060179200110352e-11,0.0,0.00383002,90,0.011909815611947655,,,1.277200648229607e-06
,connect,0.000111369829159,1,0.023571903559866724,1.7971482080269204e-13,7.792312517729792e-05,5,0.0005,2,2.65984052326e-31,0.0,-0.00011245630656772067,1,False,1,calibration,0.9977007451481328,1.6068409164367303e-11,-1.768849868454462e-05,0.00019450248257806783,1,0.002,0.000163904727905,calibrate,8,0.00012886418454164614,double,0.06617398481492372,90,1,4001,1.6068409164367303e-11,0.0,0.003873027,90,0.011909815611947655,,,1.280620710619149e-06
,connect,0.00011475509799199995,1,0.02429735849378406,3.358319400347774e-13,8.026809217283474e-05,5,0.0005,2,2.14968945523e-33,0.0,-0.00011584653102375703,1,False,1,calibration,0.9977686983985157,2.5713628944310177e-11,-1.7680017588017905e-05,0.00019580693466102046,1,0.002,0.000168890290866,calibrate,8,0.0001322495536303728,double,0.06617406377513385,90,1,4001,2.5713628944310177e-11,0.0,0.003913806,90,0.012272523495881843,,,1.2769949814021392e-06
