time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0.186,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.188,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.19,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.192,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.194,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.196,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.198,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.2,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.202,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.204,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.206,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.208,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.21,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.212,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.214,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.216,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.218,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.22,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.222,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.224,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.226,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.228,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.23,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.232,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.234,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.236,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.238,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.24,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.242,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.244,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.246,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.248,1.57079633,1.9085072,0,0,0,0,0,-0,0,0,0,0,0,0,0,1,0,0
0.25,1.57079633,1.9085072,0,0,-42.7677204,0,-0.2,0.0935229795,0,0,0,0,0,-0,0,1,0,0
0.252,1.57077403,1.90847303,-0.0149347435,-0.0216510369,-6.71159092,0.0858240645,-0.2,0.0935221144,-4.74964527e-06,4.7481578e-06,4.7481578e-06,1.36271457e-06,-0.00128176039,0.00433020737,-0.00290310177,1,-2.23006939e-05,-3.41763148e-05
0.254,1.57074187,1.90843269,-0.0159088569,-0.0180076117,3.70328919,0.106774518,-0.2,0.0935208666,-9.81007156e-06,9.80699151e-06,9.80699151e-06,9.92202107e-07,-0.00169866053,0.00360152234,-0.00232933255,1,-5.44604667e-05,-7.45165957e-05
0.256,1.57071322,1.90840631,-0.0132100129,-0.0103385304,5.47688138,0.107603361,-0.2,0.0935197552,-1.240597e-05,1.24020676e-05,1.24020676e-05,3.72707423e-07,-0.00142144178,0.00206770608,-0.000908771078,1,-8.31065922e-05,-0.000100891061
0.258,1.57069064,1.90839347,-0.0101820039,-0.00438052605,4.75885713,0.103753504,-0.2,0.093518879,-1.28617529e-05,1.28577024e-05,1.28577024e-05,1.0318179e-07,-0.00105641858,0.000876105209,8.05519478e-05,1,-0.000105686969,-0.000113728483
0.26,1.57067348,1.90838946,-0.00770405775,-0.000857403435,3.61260081,0.0999454449,-0.2,0.093518213,-1.20586242e-05,1.20548241e-05,1.20548241e-05,3.17180771e-08,-0.00076998548,0.000171480687,0.000565455112,1,-0.000122850312,-0.000117738293
0.262,1.57066047,1.90839007,-0.00585855044,0.00081364353,2.62799977,0.0972230197,-0.2,0.0935177081,-1.07209851e-05,1.07176053e-05,1.07176053e-05,1.89742092e-08,-0.000569585965,-0.000162728706,0.000718738814,1,-0.000135860535,-0.000117133545
0.264,1.57065049,1.90839248,-0.00452068357,0.00133917209,1.90337188,0.0955222902,-0.2,0.0935173209,-9.30482758e-06,9.30189365e-06,9.30189365e-06,1.50314592e-08,-0.000431826048,-0.000267834418,0.000691308547,1,-0.000145837745,-0.000114717977
