time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2,q3
0.124,1.57079633,1.9085072,1.77753025e-16,8.50826191e-17,9.72005159e-13,-7.04102697e-16,0,-0,0,0,6.54613942e-17,2.53071781e-32,-1.25156384e-31,0,1.21382722e-29,3,-3.69324853e-19,-1.87164737e-17,-1.02627952e-16,-4.3472636e-17
0.126,1.57079633,1.9085072,6.06867096e-16,-1.18371606e-15,-4.8488293e-14,-3.37386763e-15,0,-0,0,0,6.54613942e-17,7.24551098e-32,-2.04748925e-30,-0,3.25995814e-29,3,6.79064309e-19,-2.84392793e-17,-1.03969863e-16,-5.26673001e-17
0.128,1.57079633,1.9085072,4.43391258e-16,-2.51936768e-15,-3.27845565e-13,-3.08595733e-15,0,-0,0,0,6.79869978e-17,1.42175457e-31,-1.3682865e-30,-0,3.36494925e-29,3,1.73800208e-18,-4.49264358e-17,-1.08034414e-16,-6.0283041e-17
0.13,1.57079633,1.9085072,1.80868279e-16,-3.51841137e-15,-2.47877859e-13,-2.04771301e-15,0,-0,-4.4408921e-17,0,6.79869978e-17,2.05042341e-31,-3.70366328e-31,-0,2.67658371e-29,3,2.28674323e-18,-6.38546312e-17,-1.14389178e-16,-6.76732523e-17
0.132,1.57079633,1.9085072,-2.35493131e-16,-3.63159201e-15,3.13555047e-13,1.23743668e-16,0,-0,-4.4408921e-17,0,6.79869978e-17,1.80570762e-31,-2.91407838e-32,-0,2.27522731e-29,3,2.10744397e-18,-8.19592666e-17,-1.21783903e-16,-7.39951902e-17
0.134,1.57079633,1.9085072,-6.80899713e-17,-3.94858971e-15,5.2432951e-14,-6.02266376e-16,0,-0,-4.4408921e-17,0,6.79869978e-17,2.25389585e-31,4.10083002e-32,-0,1.99726548e-29,3,1.88543246e-18,-1.00272458e-16,-1.29425976e-16,-8.05279881e-17
0.136,1.57079633,1.9085072,-1.2400087e-16,-3.96518784e-15,1.56749925e-13,-1.74164668e-16,0,-0,-4.4408921e-17,0,6.79869978e-17,1.97539189e-31,2.15965704e-32,-0,2.23801943e-29,3,1.58833804e-18,-1.17522115e-16,-1.37313443e-16,-8.58663623e-17
0.138,1.57079633,1.9085072,-4.9477881e-16,-3.36270266e-15,-1.59041258e-13,2.00347205e-15,0,-0,-4.4408921e-17,0,1.17756934e-16,1.23075525e-31,-9.91275518e-31,-0,-4.42582718e-29,3,9.40843999e-19,-1.32274394e-16,-1.44743815e-16,-9.02593657e-17
0.14,1.57079633,1.9085072,-4.85808144e-16,-2.28778095e-15,1.87918003e-13,2.47509142e-15,0,-0,-4.4408921e-17,0,1.17756934e-16,5.45390807e-32,-1.20241957e-30,-0,-2.14901863e-29,3,-9.2101405e-20,-1.4105543e-16,-1.5011537e-16,-9.27558516e-17
0.142,1.57079633,1.9085072,-3.01759778e-16,-1.41043179e-15,2.19014885e-13,1.92896181e-15,0,-0,-4.4408921e-17,0,1.17756934e-16,2.21901244e-32,-5.82083086e-31,-0,-9.26140553e-30,3,-8.40325839e-19,-1.46472013e-16,-1.53550383e-16,-9.47599742e-17
