time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0.092,1.57079633,1.9085072,1.00176916e-15,1.09658596e-14,-6.21333159e-13,-4.02662671e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,3.21436633e-31,-4.03375047e-30,0,-7.63971581e-29,2,-1.96443822e-18,2.33937873e-16,1.96493195e-16
0.094,1.57079633,1.9085072,6.69839086e-16,8.46778466e-15,-4.95846571e-13,-3.15592454e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,1.91594691e-31,-2.11396161e-30,0,-4.63585641e-29,2,-3.86541783e-19,2.23572102e-16,2.15207579e-16
0.096,1.57079633,1.9085072,4.16263217e-16,6.53402986e-15,-3.57027559e-13,-2.39306047e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,1.14033186e-31,-9.96143051e-31,0,-2.75863151e-29,2,6.23488778e-19,2.15612153e-16,2.2964563e-16
0.098,1.57079633,1.9085072,2.37055591e-16,5.05730986e-15,-2.45050314e-13,-1.79609156e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,6.82905377e-32,-4.25773547e-31,0,-1.6399098e-29,2,1.2216272e-18,2.09522022e-16,2.40805121e-16
0.1,1.57079633,1.9085072,1.15510226e-16,3.93208562e-15,-1.62652218e-13,-1.34561505e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,4.12726215e-32,-1.55432299e-31,0,-9.80697328e-30,2,1.53612784e-18,2.04871616e-16,2.49465592e-16
0.102,1.57079633,1.9085072,3.57455086e-17,3.07282444e-15,-1.04292018e-13,-1.00972194e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,2.52019966e-32,-3.60930241e-32,0,-5.91589682e-30,2,1.66198878e-18,2.01326048e-16,2.56219774e-16
0.104,1.57079633,1.9085072,-1.60798166e-16,2.90210211e-15,-2.83637496e-12,6.68453023e-17,0,-0,4.4408921e-17,-2.77555756e-17,5.79553434e-17,1.41302957e-31,-1.0748602e-32,0,-1.29389016e-29,2,1.47429105e-18,-4.54546973e-17,2.61943291e-16
0.106,1.57079633,1.9085072,5.93795623e-17,4.71257913e-15,2.39289613e-12,-4.69448169e-16,0,-0,4.4408921e-17,-2.77555756e-17,1.24506265e-16,1.18971964e-31,-2.78756268e-32,0,-5.20615099e-29,2,3.45100716e-19,-4.36071722e-16,2.71015091e-16
0.108,1.57079633,1.9085072,5.92703612e-16,1.45044979e-15,-1.81223432e-12,-3.81364706e-15,0,-0,4.4408921e-17,-5.55111512e-17,2.37727761e-16,2.48709805e-32,-2.26036239e-30,0,-2.01176013e-29,2,1.70025801e-18,-6.86645913e-16,2.76416298e-16
0.11,1.57079633,1.9085072,-6.21587895e-17,5.11046881e-16,-3.97788065e-13,-6.50649532e-16,0,-0,4.4408921e-17,-5.55111512e-17,2.37342632e-16,2.09773553e-33,4.04435873e-32,0,-3.57870247e-30,2,1.92288696e-18,-7.88671374e-16,2.77893049e-16
